index,group number,index in group,number in group,code,group
0,1,1,2,Turee_Creek_Group,Turee_Creek_Group
1,1,2,2,Kungarra_Formation,Turee_Creek_Group
2,2,1,7,Boolgeeda_Iron_Formation,Hamersley_Group
3,2,2,7,Woongarra_Rhyolite,Hamersley_Group
4,2,3,7,Weeli_Wolli_Formation,Hamersley_Group
5,2,4,7,Brockman_Iron_Formation,Hamersley_Group
6,2,5,7,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
7,2,6,7,Wittenoom_Formation,Hamersley_Group
8,2,7,7,Marra_Mamba_Iron_Formation,Hamersley_Group
9,3,1,6,Jeerinah_Formation,Fortescue_Group
10,3,2,6,Bunjinah_Formation,Fortescue_Group
11,3,3,6,Fortescue_Group,Fortescue_Group
12,3,4,6,Pyradie_Formation,Fortescue_Group
13,3,5,6,Boongal_Formation,Fortescue_Group
14,3,6,6,Hardey_Formation,Fortescue_Group
15,4,1,1,Rocklea_Inlier_greenstones,Rocklea_Inlier_greenstones
